name,type,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952
Iceland Gull,species,,,1,,,,,,,,2,1,,,2,,1,CP,CP,1,1,,,,,1,,1,1,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glaucous Gull,species,2,,1,1,,,1,,3,,5,2,2,1,3,3,,3,1,4,5,,CP,,,1,,1,CP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Black-backed Gull,species,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Black-backed Gull,species,3,,3,2,,3,8,1,6,5,5,8,15,30,7,1,22,20,5,5,32,,,3,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaparte's Gull,species,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Pigeon,species,1705,1141,1152,1402,989,984,1092,26,655,1129,631,378,1271,1538,916,1064,811,557,508,568,338,467,526,939,381,700,371,1008,936,1377,555,726,1291,1323,609,1136,783,686,563,372,482,176,1,,720,402,176,,306,262,96,132,140,243,288,271,111,176,51,42,,,
Mourning Dove,species,973,858,470,313,1329,742,886,161,363,748,389,346,791,418,632,376,283,259,199,247,209,255,192,588,208,268,248,127,260,159,34,44,43,147,19,19,53,18,71,50,68,63,17,8,25,,,2,1,,,,,,,,,,,,,,
Eastern Screech Owl,species,1,2,3,2,,1,1,,1,1,,,1,,,1,1,CP,,1,1,1,1,,,,1,1,,,,,,,,1,1,1,1,,1,,,,2,,,,,,,,,,,,,,,,,,
Great Horned Owl,species,6,6,2,7,7,5,3,1,5,4,1,2,6,8,6,9,2,6,3,3,16,12,40,12,1,37,5,9,29,4,1,4,21,25,,10,7,27,5,18,5,,2,13,9,,2,,,1,2,,1,,1,,,,1,,,,
Snowy Owl,species,1,1,,,,,,,CP,,,,,,,,,,,,,,,,,,CP,,1,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,
Northern Hawk Owl,species,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,3,,,,,,,,,,
Barred Owl,species,2,,2,,2,,1,,1,,,,1,,,1,,1,1,,,1,,,1,,,,,,,2,,,,1,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
Great Grey Owl,species,,,,,,,,,,,1,,,,,,,,,CP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-eared Owl,species,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,2,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Saw-whet Owl,species,,,,,1,,,,,,,,2,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boreal Owl,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Short-eared Owl,species,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belted Kingfisher,species,1,3,1,2,1,2,3,,,,,,1,3,,1,1,CP,,1,,,1,2,CP,1,2,2,1,1,CP,,3,2,1,2,1,,,CP,,2,1,,,1,,1,,,,,,3,,,,1,,,,,
Red-bellied Woodpecker,species,7,8,2,7,2,2,,,,,,,1,,,,,,,,,1,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-bellied Sapsucker,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
Downy Woodpecker,species,64,68,55,42,82,54,58,21,45,45,32,37,44,30,33,55,20,36,33,56,40,64,53,57,30,57,36,41,79,64,43,53,66,69,33,71,44,42,61,75,119,52,46,43,48,30,20,36,18,25,12,41,23,19,8,14,13,16,10,12,4,4,3
Hairy Woodpecker,species,63,61,35,29,50,41,40,23,32,32,26,37,39,30,27,35,14,28,23,29,28,36,18,37,17,39,25,16,52,30,20,45,49,62,29,40,35,34,30,84,71,36,21,25,27,9,13,14,15,14,5,34,15,20,10,15,6,8,7,14,3,1,1
Three-toed Woodpecker,species,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,2,,,,,,,,,,2,2,1,9,,,,,,,,,,,
Black-backed Woodpecker,species,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,CP,,,1,,,1,1,1,3,,,1,,,,,3,1,,3,1,,,,,,4,,,,
Northern Flicker,species,2,3,1,5,,1,2,CP,2,1,,2,5,1,,,,CP,,,,,,,1,2,1,CP,2,2,,CP,2,2,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,
Pileated Woodpecker,species,14,14,5,5,10,6,5,4,8,7,1,2,7,10,3,12,3,6,2,11,6,8,14,6,3,9,2,7,7,4,3,6,8,9,4,5,7,6,3,11,8,5,2,4,4,1,1,4,3,2,1,2,1,4,2,1,2,2,2,3,,,
Northern Shrike,species,3,7,3,13,7,13,9,1,6,8,3,2,7,4,7,10,3,7,8,14,4,2,3,12,5,6,3,6,29,6,6,5,9,15,3,5,16,10,10,14,16,11,10,2,10,1,2,12,3,9,6,7,9,4,7,2,3,4,2,1,,,
Gray Jay,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,1,,,
Blue Jay,species,363,281,125,302,469,290,361,66,201,403,285,98,434,197,299,172,101,117,204,174,245,284,324,209,114,220,154,113,283,189,122,203,235,134,144,236,207,127,157,126,203,204,76,84,103,64,51,107,58,54,76,84,73,73,79,42,117,38,63,22,4,,4
American Crow,species,581,568,214,691,436,526,535,239,465,341,269,194,334,403,279,383,222,198,293,246,141,213,94,212,78,325,80,126,105,137,207,49,126,55,172,123,75,45,20,74,49,28,19,14,40,7,7,3,4,,7,15,1,6,14,,,1,,2,,1,
Common Raven,species,24,10,1,1,,5,,,3,1,CP,1,1,,,2,,,,2,,,,,1,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Lark,species,2,,,,,,,,,13,,,,,,,,27,,,,3,,,,,11,,,4,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,
Black-capped Chickadee,species,1761,1500,1951,1746,1729,1748,1549,519,1759,1457,1238,930,1140,755,791,1212,777,1080,1053,1509,1300,1243,1567,1261,1022,1065,1272,1320,1490,1087,823,1242,1551,1264,1448,1168,602,459,771,1114,1244,738,493,637,529,497,202,273,506,254,200,408,371,293,232,236,171,285,116,143,86,,81
Boreal Chickadee,species,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,6,,1,4,,,,,,,,,,,,,,,,,
Red-breasted Nuthatch,species,8,4,30,23,27,24,66,5,24,21,4,3,2,8,5,15,2,10,6,8,5,4,4,2,2,6,,,2,6,1,3,1,4,4,1,1,1,5,1,,,,,1,,,,,,3,1,,,1,,,,,,,,
White-breasted Nuthatch,species,117,55,102,58,60,95,69,24,58,92,33,32,41,50,21,91,24,52,21,70,25,54,41,69,49,52,34,61,50,34,27,45,68,41,33,57,22,14,28,47,68,55,13,17,22,16,12,18,9,13,18,17,14,17,12,11,15,28,2,6,7,,1
Brown Creeper,species,1,5,6,4,4,3,1,,18,7,2,5,3,CP,2,4,10,4,8,8,4,5,9,5,7,7,1,11,5,6,12,11,21,4,1,4,3,1,CP,8,9,8,3,3,5,4,,19,17,,2,3,,,2,7,2,1,,,,,3
